class1,class2,name,total_value,yrs_0_1,yrs_1_3,yrs_3_5,yrs_5_7,yrs_7_10,yrs_10_more,name_short
分类指数,发行人类型,中债-商业银行债券全价指数,CBA02403.CS,CBA02413.CS,CBA02423.CS,CBA02433.CS,CBA02443.CS,CBA02453.CS,CBA02463.CS,商业银行债券全价
成分指数族,成分指数族,中债-央票50财富指数,CBB00101.CS,CBB00111.CS,CBB00121.CS,,,,,央票50财富
成分指数族,成分指数族,中债-央票50净价指数,CBB00102.CS,CBB00112.CS,CBB00122.CS,,,,,央票50净价
成分指数族,成分指数族,中债-央票50全价指数,CBB00103.CS,CBB00113.CS,CBB00123.CS,,,,,央票50全价
成分指数族,成分指数族,中债-短融50财富指数,CBB00201.CS,CBB00211.CS,,,,,,短融50财富
成分指数族,成分指数族,中债-短融50净价指数,CBB00202.CS,CBB00212.CS,,,,,,短融50净价
成分指数族,成分指数族,中债-短融50全价指数,CBB00203.CS,CBB00213.CS,,,,,,短融50全价
策略指数族 ,策略指数族 ,中债-中国高等级债券财富指数,CBC00101.CS,,,,,,,中国高等级债券财富
策略指数族 ,策略指数族 ,中债-中国高等级债券净价指数,CBC00102.CS,,,,,,,中国高等级债券净价
策略指数族 ,策略指数族 ,中债-中国高等级债券全价指数,CBC00103.CS,,,,,,,中国高等级债券全价
